id_anuncio,titulo_anuncio,provincia,municipio,tamano_m2,habitaciones,banos,planta,tiene_ascensor,tiene_terraza,tiene_trastero,calefaccion,estado,url_foto,precio_actual,precio_anterior,bajada_precio,precio_m2,tiene_imagen,path_imagen,ratio_hab_m2,ratio_banos_hab,pct_bajada,estado_cod,planta_cod,municipio_cod,calefaccion_cod
100000,Piso en venta en El Bercial,Madrid,Pinto,164,5,3,Bajo,0,1,0,No tiene,A reformar,https://img-portal-inmo.com/fotos/3359.jpg,329975,341310,11335,2012.0426829268292,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_0.jpg,0.03048780487804878,0.6,3.321027804635082,0,0,6,3
100001,Piso en venta en La Fortuna,Madrid,Leganés,107,2,3,5,0,0,0,Eléctrica,A reformar,https://img-portal-inmo.com/fotos/9592.jpg,250656,262736,12080,2342.5794392523367,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_1.jpg,0.018691588785046728,1.5,4.597771146702393,0,5,3,1
100002,Piso en venta en Sur,Madrid,Móstoles,116,4,3,5,0,1,1,Central,Buen estado,https://img-portal-inmo.com/fotos/8689.jpg,250263,283769,33506,2157.439655172414,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_2.jpg,0.034482758620689655,0.75,11.807491304547009,1,5,4,0
100003,Piso en venta en La Fortuna,Madrid,Leganés,175,1,1,3,1,1,0,Central,Buen estado,https://img-portal-inmo.com/fotos/6499.jpg,418130,460247,42117,2389.3142857142857,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_3.jpg,0.005714285714285714,1.0,9.150955899766865,1,3,3,0
100004,Piso en venta en La Fortuna,Madrid,Leganés,57,3,3,5,1,1,0,No tiene,Buen estado,https://img-portal-inmo.com/fotos/5551.jpg,166931,181855,14924,2928.6140350877195,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_4.jpg,0.05263157894736842,1.0,8.206538176019357,1,5,3,3
100005,Piso en venta en Centro,Madrid,Alcorcón,96,3,3,6,1,0,1,Central,Obra nueva,https://img-portal-inmo.com/fotos/1776.jpg,217064,221595,4531,2261.0833333333335,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_5.jpg,0.03125,1.0,2.0447212256594236,2,6,0,0
100006,Piso en venta en Sur,Madrid,Leganés,106,1,1,3,1,1,0,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/8710.jpg,279562,293875,14313,2637.377358490566,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_6.jpg,0.009433962264150943,1.0,4.870438111441939,1,3,3,2
100007,Piso en venta en Sur,Madrid,Leganés,163,1,1,2,1,0,1,No tiene,Buen estado,https://img-portal-inmo.com/fotos/2321.jpg,390161,409068,18907,2393.6257668711655,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_7.jpg,0.006134969325153374,1.0,4.621969941427831,1,2,3,3
100008,Piso en venta en Sur,Madrid,Móstoles,153,5,2,3,0,0,1,Central,A reformar,https://img-portal-inmo.com/fotos/8784.jpg,330393,331676,1283,2159.4313725490197,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_8.jpg,0.032679738562091505,0.4,0.3868232853748839,0,3,4,0
100009,Piso en venta en La Fortuna,Madrid,Leganés,52,1,3,Bajo,1,0,0,No tiene,A reformar,https://img-portal-inmo.com/fotos/6829.jpg,102137,116375,14238,1964.173076923077,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_9.jpg,0.019230769230769232,3.0,12.234586466165414,0,0,3,3
100010,Piso en venta en El Bercial,Madrid,Fuenlabrada,139,2,2,2,1,0,0,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/9525.jpg,351646,369138,17492,2529.827338129496,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_10.jpg,0.014388489208633094,1.0,4.738607241736153,1,2,1,1
100011,Piso en venta en Sur,Madrid,Pinto,169,5,2,6,0,0,1,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/6510.jpg,361369,366934,5565,2138.2781065088757,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_11.jpg,0.029585798816568046,0.4,1.5166215177661377,1,6,6,2
100012,Piso en venta en Loranca,Madrid,Móstoles,97,4,1,5,1,0,1,Central,Buen estado,https://img-portal-inmo.com/fotos/9537.jpg,235166,252590,17424,2424.3917525773195,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_12.jpg,0.041237113402061855,0.25,6.898135318104439,1,5,4,0
100013,Piso en venta en La Fortuna,Madrid,Pinto,107,5,1,Bajo,1,0,1,Gas Natural,A reformar,https://img-portal-inmo.com/fotos/3184.jpg,239945,256094,16149,2242.4766355140187,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_13.jpg,0.04672897196261682,0.2,6.305887681866815,0,0,6,2
100014,Piso en venta en Centro,Madrid,Getafe,139,5,2,3,1,0,1,Gas Natural,Buen estado,https://img-portal-inmo.com/fotos/3698.jpg,314253,354322,40069,2260.8129496402876,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_14.jpg,0.03597122302158273,0.4,11.308640163467128,1,3,2,2
100015,Piso en venta en El Bercial,Madrid,Móstoles,125,3,2,3,0,1,1,Eléctrica,Buen estado,https://img-portal-inmo.com/fotos/7304.jpg,286173,320506,34333,2289.384,True,/content/drive/MyDrive/TFM_Mejorado/Data/Images/casa_dataset_15.jpg,0.024,0.6666666666666666,10.712123953997741,1,3,4,1
